Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
Quanto a pecuária estima-se as seguintes perdas: Milho silagem R$: 80.000,00, Bovino de Leite R$: 75.170,70, pastagem anual R$: 6.000,0000 e Erosão de Solo em lavouras com plantas de cultivos anuais R$: 2.500,00. Totalizando 163.670,70
",4355927.55,161707.88,0.00,0.00,0.00,4517635.44,4596676.04
RS-F-4313607-13214-20240502,Paim Filho,RS,Sul,04/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4313607,"431360705000004, 431360705000003, 431360705000008, 431360705000007, 431360705000006, 431360705000005, 431360705000002, 431360705000001, 431360705000009",Reconhecido,"CUMPRE DESTACAR QUE TODA A ÁREA DO MUNICÍPIO, SENDO TODA A POPULAÇÃO DE 3.629 HABITANTES FORAM AFETADOS DIRETA
OU INDIRETAMENTE EM FUNÇÃO DOS PROBLEMAS NAS ESTRADAS E PONTES, IMPEDINDO A LOCOMOÇÃO TANTO DE ESTUDANTES
COMO DE TRABALHADORES, ATINGINDO ASSIM, A QUALIDADE DE VIDA DOS CIDADÃOS, ALÉM DOS PREJUÍZOS ECONÔMICOS PÚBLICOS
E PRIVADOS E CONSEQUENTEMENTE PREJUÍZOS SOCIAIS. SALIENTANDO QUE DO TOTAL DESTA POPULAÇÃO DE 3.629 HABITANTES
TEMOS 166 FAMÍLIAS, SENDO 664 PESSOAS EM SITUAÇÃO DE VULNERABILIDADE SOCIAL. AINDA, SALIENTAMOS QUE 05 RESIDÊNCIAS
FORAM ALAGADAS.",0,0,0,0,0,0,0,0,3629,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4315552-13214-20240502,Rio dos Índios,RS,Sul,07/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4315552,"431555205000005, 431555205000002, 431555205000003, 431555205000004, 431555205000001, 431555210000003, 431555210000004, 431555210000001, 431555210000002, 431555205000008, 431555205000007, 431555205000006, 431555210000005, 431555210000006",Reconhecido,"Conforme relatório social toda a população do município rural e urbana foram atingidas, aproximadamente 3.616 habitantes. O grande volume pluviométrico de chuvas ocasionou múltiplos desastres como inundações, alagamentos, enxurradas, bloqueio de ruas e estradas, com isso teve cancelamento das aulas.",0,0,0,0,5,0,0,5,3611,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os
eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os
eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4305603-13214-20240502,Colorado,RS,Sul,06/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4305603,"430560305000004, 430560305000005, 430560305000003, 430560305000006, 430560305000002, 430560305000001, 430560305000007, 430560310000001, 430560310000002, 430560310000003",Reconhecido,"Conforme relatório social toda a área do município foi atingidas, rural e urbana, aproximadamente 3.550 habitantes sendo que duas pessoas ficaram desalojadas.",0,0,0,0,2,0,0,2,3548,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4304903-13214-20240502,Casca,RS,Sul,07/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4304903,"430490305000006, 430490305000014, 430490305000007, 430490310000002, 430490310000004, 430490305000005, 430490305000015",Reconhecido,"Todo o interior do município foi afetado tendo aproximadamente 3500 pessoas com deslocamentos prejudicados, também o transporte escolar ficou prejudicado pelo comprometimento das estradas.",0,0,0,0,0,0,0,0,3500,"Os danos materiais foram principalmente estragos nas estradas onde temos galerias de concreto danificadas, lavagem de cascalho no leito das estradas vicinais, entupimento de sarjetas e bueiros, desmoronamento de encostas e alagamentos em diversos pontos.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,24,0,245025.86,245025.86,NÃO HÁ,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Também de acordo com o Laudo  da Emater a grande quantidade de chuva causou a perda de fertilidade do solo em uma área de aproximadamente 5000ha cultivados com  soja, milho e trigo. Além do custo com a recuperação da fertilidade do solo  haverá um intervalo estimado de quatro a cinco safras para que a produção atinja os níveis normais, totalizando uma perda estimada em R$ 12.500.000,00. O Laudo aponta também uma área de 50ha de pastagens afetada pelas chuvas.",4446033.84,0.00,0.00,0.00,0.00,4446033.84,4446033.84
RS-F-4323754-13214-20240502,Vitória das Missões,RS,Sul,07/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4323754,"432375405000005, 432375430000003, 432375430000002, 432375430000001, 432375430000007, 432375430000006, 432375430000004, 432375430000009, 432375430000008, 432375405000006, 432375405000004, 432375405000003, 432375405000002, 432375430000005, 432375405000001, 432375405000007",Reconhecido,"Conforme relatório social, toda a população do município rural e urbana foram atingidas, aproximadamente 3.485 habitantes.",0,0,0,0,0,0,0,0,3485,"Diante da anormalidade, foi constatado que foram atingidas 305 propriedades; 50 km de estradas vicinais afetadas (prejuízo em torno de R$ 50.000,00); 25 casas e 15 galpões afetados pelas enchentes diretamente (prejuízo em torno de R$ 70.000,00); 30 famílias ficaram sem água, pois romperam canos (prejuízos com canos em torno de R$ 2.200,00); 2 poços foram atingidos pela enchente, contaminando sua água (prejuízos em torno de R$ 50.000,00); bueiros foram afetados (prejuízos em torno de R$ 27.800,00); uma ponte de madeira foi deslocada (prejuízo em torno de R$ 100.000,00).",25,0,69160.53,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,45,0,227241.73,296402.26,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos ainda persistem.",,,,,,conforme laudo engenharia e obras.,0.00,51376.39,0.00,0.00,0.00,0.00,0.00,49400.38,0.00,0.00,0.00,100776.77,"foram atingidas 15 hectares de milho: prejuízo de R$ 82.500,00; 205 hectares de soja: prejuízo de R$ 959.400,00; e ainda houve prejuízo na produção leiteira de R$ 42.120,00.",1002728.83,41614.88,0.00,0.00,0.00,1044343.71,1145120.48
RS-F-4319703-13214-20240502,São Valentim,RS,Sul,03/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4319703,"431970305000012, 431970305000011, 431970305000010, 431970305000009, 431970305000008, 431970305000006, 431970305000002, 431970305000001, 431970305000003, 431970305000005, 431970305000004, 431970305000007",Reconhecido,"Devido a Tempestade Local Conectiva - Chuvas Intensas, ocorrida no município no dia 02/05/2024, por volta das 07h00min, a qual acumulou 180mm em pouco tempo, afetando toda a população área urbana e rural, 3.264 habitantes foram afetados. Com base nas informações colhidas, verifica-se que todas as áreas do município e toda a população foram afetadas pelos efeitos das chuvas intensas, que causaram danos nas estradas, pontes e bueiros, causando prejuízos econômicos e inclusive prejuízos sociais incalculáveis à vida das pessoas. Durante a ocorrência de chuvas intensas, a Coordenadoria Municipal de Proteção e Defesa Civil juntamente com a Secretaria Municipal de Obras e Habitação e os Bombeiros Voluntários percorreram as áreas mais atingidas prestando assistência aos afetados. A Prefeitura Municipal vem trabalhando em ações de resposta através da Coordenadoria Municipal de Proteção e Defesa Civil e as demais secretarias para suprir as necessidades da população e desobstrução de estradas e pontes que estão prejudicando o trafego de veículos e pessoas.",0,0,0,0,0,0,0,0,3264,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4313425-13214-20240502,Novo Machado,RS,Sul,07/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4313425,"431342505000008, 431342515000007, 431342515000006, 431342515000005, 431342505000006, 431342505000007, 431342505000005, 431342505000004, 431342515000004, 431342515000002, 431342515000001, 431342515000003, 431342505000002, 431342505000003, 431342505000001",Reconhecido,"Conforme relatório social toda a população do município rural e urbana foram atingidas, aproximadamente 3.198 habitantes.",0,0,0,0,0,0,0,0,3198,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4312443-13214-20240502,Morrinhos do Sul,RS,Sul,06/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4312443,"431244310000005, 431244310000004, 431244310000003, 431244310000002, 431244320000012, 431244320000006, 431244320000008, 431244320000004, 431244320000005, 431244320000001, 431244320000010, 431244320000003, 431244320000002, 431244320000011, 431244320000009, 431244320000007, 431244310000001, 431244305000009, 431244305000001, 431244305000002, 431244305000003, 431244305000007, 431244305000005, 431244305000006, 431244305000008, 431244315000002, 431244315000001",Reconhecido,"O município foi atingido por Tempestade Local/Convectiva - Chuvas Intensas no dia 02 de maio de 2024, as fortes chuvas e a enxurrada perduraram
por praticamente toda noite  e dia, acarretando danos na infraestrutura geral das estradas rurais, além de encostas de rios da região urbana e central . Houve danos ambientais, provocado por queda de árvores, bem como danificação de plantações, resultaram em danos materiais e prejuízos
econômicos e sociais.
",0,0,0,0,0,0,0,0,3185,"Conforme laudo de danos materiais:
Referente aos gastos com recuperação de estradas rurais. (R$ 984.600,00)
Referente aos gastos com recomposição de encosta de rio. (R$ 243.710,00)

",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,1213579.52,1213579.52,,,,,,,"Conforme Oficio 66:
Referente aos gastos com limpeza e desobstrução das estradas rurais conforme laudos em anexo. ( R$ 30.000,00)
Conforme laudo de danos materiais:
Referente aos gastos com recuperação de estradas rurais. (R$ 984.600,00)
Referente aos gastos com recomposição de encosta de rio. (R$ 243.710,00)
",0.00,0.00,0.00,29640.23,0.00,0.00,0.00,1213579.52,0.00,0.00,0.00,1243219.74,"Segundo laudo da Emater foram estimados os gastos no valor acima, com as seguintes perdas:
Produção de gado de corte: 2,5 %
produção de grama: 8%
Produção de arroz: 4,78%
Produção de soja: 100%
Produção de feijão: 50%
Produção de Oliricultura: 30%
Produção de banana: 1%
",2444286.05,102789.83,0.00,0.00,0.00,2547075.89,3790295.63
RS-F-4302600-13214-20240502,Braga,RS,Sul,07/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4302600,"430260005000008, 430260005000009, 430260005000001, 430260005000002, 430260005000005, 430260005000006, 430260005000007, 430260005000003, 430260005000004, 430260005000010, 430260005000011, 430260005000012, 430260010000001, 430260010000002, 430260010000003, 430260010000004",Reconhecido,"Conforme relatório da Secretaria Municipal de Assistência Social, toda a população do município foi afetada, 2.783 habitantes. Destas, 80 famílias, aproximadamente 320 pessoas, tiveram um dano mais severo, tendo suas residências alagadas, sendo que 14 famílias, 56 pessoas, ficaram desalojadas. 

",0,0,0,0,120,0,0,120,3148,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os
eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os
eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4321329-13214-20240502,Taquaruçu do Sul,RS,Sul,03/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4321329,"432132905000001, 432132905000004, 432132905000006, 432132905000002, 432132905000005, 432132905000003",Reconhecido,"Cerca de 15 pessoas ficaram desalojadas, recebendo acolhimento de familiares e amigos durante o evento. Em ""outros afetados"" inclui pessoas que ficaram ilhadas, sem possibilidade de comunicação e deslocamento.",0,0,0,0,15,0,0,15,3104,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4319372-13214-20240502,São Pedro do Butiá,RS,Sul,06/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4319372,"431937210000001, 431937205000003, 431937210000002, 431937205000004, 431937205000005, 431937205000006, 431937205000002, 431937205000001",Registro,"Conforme relatório social toda a população do município rural e urbana foram atingidas, aproximadamente 3.070 habitantes.",0,0,0,0,0,0,0,0,3070,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados estão prejudicados, uma vez que os eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados estão prejudicados, uma vez que os eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados estão prejudicados, uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados estão prejudicados, uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4306957-13214-20240502,Entre Rios do Sul,RS,Sul,03/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4306957,"430695705000001, 430695705000002, 430695705000003, 430695705000004, 430695705000005, 430695705000006, 430695705000007, 430695705000008",Reconhecido,Conforme relatório social 12 pessoas ficaram desalojadas.,0,0,0,0,12,0,0,12,3068,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4323200-13214-20240502,Victor Graeff,RS,Sul,08/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4323200,"432320007000002, 432320015000002, 432320005000004, 432320005000005, 432320005000003",Reconhecido,"Devido às fortes chuvas que ocasionaram enxurradas, com rios saindo do leito, onde tres familias tiveram que ser alojadas em outro local Todos habitantes foram atingidos diretamente e indiretamente pelo evento, nas áreas ruarais e urbanas.",0,0,0,0,3,0,0,3,3033,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados, uma vez que os eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados, uma vez que os eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados, uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados, uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4301859-13214-20240502,Barra do Guarita,RS,Sul,04/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4301859,"430185905000006, 430185905000001, 430185905000002, 430185905000003, 430185905000004, 430185905000005, 430185905000007, 430185905000008, 430185905000009",Reconhecido,Conforme relatório social 40 pessoas ficaram desabrigadas e 52 desalojadas.,0,0,0,40,52,0,0,92,2997,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4305116-13214-20240502,Centenário,RS,Sul,06/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4305116,"430511605000010, 430511605000005, 430511605000001, 430511605000008, 430511605000003, 430511605000004, 430511605000009, 430511605000007, 430511605000006, 430511605000002",Reconhecido,"Cumpre destacar que toda a área do município, sendo toda a população de 2.967 habitantes estão sendo afetados diretamente em função
dos problemas nas estradas, impedindo a locomoção, tanto de estudantes como de trabalhadores, atingindo assim, a
qualidade de vida dos cidadãos, além dos prejuízos econômicos públicos e privados e consequentemente prejuízos sociais.",0,0,0,0,0,0,0,0,2967,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4318051-13214-20240502,São Domingos do Sul,RS,Sul,03/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4318051,"431805105000001, 431805105000005, 431805115000002, 431805105000003, 431805115000001, 431805105000004, 431805105000002",Reconhecido,"Cumpre destacar que toda a área do município foi afetada, sendo um total de 2.926 habitantes estão sendo afetados diretamente em função da falta de abastecimento de água, ocasionado por estragos na rede de distribuição ou nas bombas dos poços artesianos e por infiltração de água pluvial nos poços contaminando a água para consumo humano, ou indiretamente, em função dos problemas nas estradas, pontes e bueiros impedindo a locomoção, atingindo assim, a qualidade de vida dos cidadãos, além dos prejuízos econômicos públicos e privados e consequentemente prejuízos sociais.
 Salientando toda a população foi afetada sendo 735 famílias, um total de 2.926 pessoas. Destas famílias afetadas ressalvamos que 98 famílias estão em vulnerabilidade social, sendo assim, 392 pessoas.
Quanto aos problemas de abastecimento de água salienta-se que a qualidade da água ficou comprometida.
",0,0,0,0,0,0,0,0,2926,"Houve danos e destruição em vários pontos das estradas vicinais da área rural, gerando atoleiros, acumulo de rejeitos e prejudicando a trafegabilidade de veículos, como também danos em cabeceiras de bueiros, e em cabeceiras de uma ponte e um pontilhão.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,20,277696.02,277696.02,"Conforme Laudo Ambiental da a população ficou prejudicada com a qualidade da água devido ao exaurismo hídrico, infiltração nos poços artesianos das águas dos alagamentos e enxurradas.",MAIS DE 20% DA POPULAÇÃO AFETADA,,,,,"Para a reabilitação de cenários foram alocados 33 servidores públicos de várias áreas (Obras, Assistência Social, Coordenadora Municipal de Proteção e Defesa Civil e outros). O total gasto com veículos, máquinas e equipamentos foi de R$68.500,00. Também foi realizado gastos com materiais num montante de R$ 78.581,00. Totalizando R$147.081,00 dos cofres públicos municipais.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,145317.13,0.00,0.00,0.00,145317.13,"Os danos privados segundo Laudo da Emater são na agricultura e na pecuária, sendo nas lavouras de milho, soja, milho silagem e pastagens.",525713.86,569586.34,0.00,0.00,0.00,1095300.20,1240617.33
RS-F-4316477-13214-20240502,Salvador das Missões,RS,Sul,09/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4316477,"431647720000004, 431647720000002, 431647705000004, 431647720000003, 431647720000001, 431647705000002, 431647705000001, 431647705000003",Reconhecido,"Conforme Laudo da Assistência Social, o município tivemos toda população atingida em virtude das Chuvas Intensas ¿ COBRADE 1.3.2.1.4 que assolou nosso município, sendo afetadas diretamente 100 famílias, totalizando 400 pessoas, e indiretamente 2.477 pessoas, que ficaram impossibilitadas de acessarem aos serviços públicos como saúde, educação e comercio em geral em virtude dos estragos ocorridos nas estradas vicinais, que não permitiam a trafegabilidade.",0,0,0,0,0,0,0,0,2877,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,9,0,364574.77,364574.77,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os eventos adversos ainda persistem.",436637.57,3408625.94,0.00,0.00,0.00,3845263.52,3845263.52
RS-F-4323507-13214-20240502,Vista Alegre,RS,Sul,05/05/2024,02/05/2024,13214,13.00,Chuvas Intensas,Hidrológico,4323507,"432350705000001, 432350705000002, 432350705000003, 432350705000004, 432350705000005, 432350705000006, 432350705000007",Reconhecido,"De acordo com o relatório social toda a área do município foi atingida, rural e urbana, aproximadamente 2.832 habitantes.",0,0,0,0,0,0,0,0,2832,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",,,,,,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tendo em vista a gravidade dos eventos adversos que assolam o município, o levantamento dos dados restam prejudicados uma vez que os 
eventos adversos ainda persistem.",0.00,0.00,0.00,0.00,0.00,0.00,0.00
